Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
11-24-11,HDFC,EQ,624.15,623,630,607.1,627.7,626.1,619.35,3268857,2.02E+14,49469,1821613,0.5573
11-25-11,HDFC,EQ,626.1,621.7,623.25,606.6,614.9,613.75,615.36,1768272,1.09E+14,32872,971411,0.5494
11-28-11,HDFC,EQ,613.75,618.25,649.05,618.25,646.9,646.65,636.37,2123181,1.35E+14,36399,1429327,0.6732
11-29-11,HDFC,EQ,646.65,648.5,648.5,632.1,633.3,635.65,638.69,2200475,1.41E+14,44610,1336933,0.6076
11-30-11,HDFC,EQ,635.65,626.05,647.8,625.3,643.1,641.7,638.33,3367260,2.15E+14,45357,2253816,0.6693
12-01-11,HDFC,EQ,641.7,659.9,664.45,651,656.95,656.1,656.85,1769040,1.16E+14,32801,1123539,0.6351
12-02-11,HDFC,EQ,656.1,658,669,654.7,668.35,667.6,661.44,1803708,1.19E+14,39184,1137756,0.6308
12-05-11,HDFC,EQ,667.6,665.9,670.5,656.85,662.05,662.2,661.02,1666822,1.10E+14,22637,1038564,0.6231
12-07-11,HDFC,EQ,662.2,663,677.85,656.55,675,675.55,670.86,3498036,2.35E+14,53331,2535817,0.7249
12-08-11,HDFC,EQ,675.55,674.9,677,659.45,668,669.3,669.01,2531344,1.69E+14,39391,1768298,0.6986
12-09-11,HDFC,EQ,669.3,660,663.75,652.35,654,655.4,657.74,1486874,9.78E+13,21638,782997,0.5266
12-12-11,HDFC,EQ,655.4,659.9,661,644.1,650,647.35,650.6,2397640,1.56E+14,36907,1484046,0.619
12-13-11,HDFC,EQ,647.35,642,654.5,636.25,649,646.35,645.82,1799425,1.16E+14,35435,901290,0.5009
12-14-11,HDFC,EQ,646.35,645.25,647.9,628.3,631.15,630.35,637.34,2442485,1.56E+14,58532,1450769,0.594
12-15-11,HDFC,EQ,630.35,622,642.25,622,637.5,636.4,635.63,3841311,2.44E+14,67661,2743726,0.7143
12-16-11,HDFC,EQ,636.4,636.4,646,618.55,632.6,626.35,634.47,2231863,1.42E+14,39733,1099508,0.4926
12-19-11,HDFC,EQ,626.35,620,624.4,600.3,612.3,618.25,612.64,3601149,2.21E+14,64860,2233629,0.6203
12-20-11,HDFC,EQ,618.25,619.75,628.7,618,622.5,623.4,623.84,2775142,1.73E+14,42195,1765944,0.6363
12-21-11,HDFC,EQ,623.4,633,659.75,633,656.85,655.45,643.28,2774826,1.79E+14,40223,1867710,0.6731
12-22-11,HDFC,EQ,655.45,645.5,665,645.5,660.5,662.45,657.21,2716673,1.79E+14,41392,1816467,0.6686
12-23-11,HDFC,EQ,662.45,668.65,668.65,655.4,662,660.9,661.03,2392651,1.58E+14,41487,1715077,0.7168
12-26-11,HDFC,EQ,660.9,659,670.7,658.25,665.95,665.75,666.8,1077446,7.18E+13,13482,698178,0.648
12-27-11,HDFC,EQ,665.75,666,670.8,662.15,667.5,667.85,666.82,1521474,1.01E+14,19474,1033519,0.6793
12-28-11,HDFC,EQ,667.85,675,675.8,658.3,659,660.85,664.93,1422488,9.46E+13,22319,965018,0.6784
12-29-11,HDFC,EQ,660.85,659.5,664.1,654.6,654.6,656.6,658.79,1100159,7.25E+13,17214,524104,0.4764
12-30-11,HDFC,EQ,656.6,655,668.9,648,648.8,652.05,659.69,1841165,1.21E+14,29775,914326,0.4966
1-02-12,HDFC,EQ,652.05,650,655.3,641.35,653.1,650.4,647.31,626403,4.05E+13,14911,218940,0.3495
1-03-12,HDFC,EQ,650.4,655.9,669,655.9,665.7,665.2,661.37,771226,5.10E+13,17422,351648,0.456
1-04-12,HDFC,EQ,665.2,663.2,668.2,658.95,659.35,660.95,663,1447287,9.60E+13,24385,828163,0.5722
1-05-12,HDFC,EQ,660.95,662.5,673.75,660.7,668.5,670.3,667.85,1708022,1.14E+14,26969,1200360,0.7028
1-06-12,HDFC,EQ,670.3,667.1,674.7,657.5,672,670.4,666.56,1318442,8.79E+13,30518,680682,0.5163
1-07-12,HDFC,EQ,670.4,670.4,673,667,667.8,668.55,668.79,49185,3.29E+12,1338,11847,0.2409
1-09-12,HDFC,EQ,668.55,669.3,669.4,655.3,664,663.25,661.65,1510238,9.99E+13,26607,844207,0.559
1-10-12,HDFC,EQ,663.25,666.55,687.6,666.55,685.5,684,679.71,1669978,1.14E+14,36808,1048844,0.6281
1-11-12,HDFC,EQ,684,685,692.75,677.5,679.8,680.95,686.76,2494939,1.71E+14,54023,1775191,0.7115
1-12-12,HDFC,EQ,680.95,685,701.65,669.45,689.15,687.4,685.32,4372580,3.00E+14,92032,1606868,0.3675
1-13-12,HDFC,EQ,687.4,688,694.75,671,683.9,681.55,678.92,1881398,1.28E+14,34131,831512,0.442
1-16-12,HDFC,EQ,681.55,679.05,679.9,671.05,674.3,674.2,674.22,1739336,1.17E+14,46119,1260863,0.7249
1-17-12,HDFC,EQ,674.2,678,680.45,671.85,674.9,675.35,676.25,1335861,9.03E+13,37770,802897,0.601
1-18-12,HDFC,EQ,675.35,677,684.3,672.1,681.65,682.8,679.31,1461761,9.93E+13,42013,969510,0.6632
1-19-12,HDFC,EQ,682.8,687.5,695,684.95,693.1,693.7,692.03,2146664,1.49E+14,59847,1579380,0.7357
1-20-12,HDFC,EQ,693.7,695,695,684.35,690.35,692.1,690.35,1419327,9.80E+13,34405,941654,0.6635
1-23-12,HDFC,EQ,692.1,692.5,700.7,688,695.7,695.5,697.26,1130480,7.88E+13,20912,754894,0.6678
1-24-12,HDFC,EQ,695.5,696,706,695.35,699.9,700.55,702.42,2105601,1.48E+14,33776,1293272,0.6142
1-25-12,HDFC,EQ,700.55,704.8,711.95,702.55,709,709.2,708.66,3459415,2.45E+14,58313,2402995,0.6946
1-27-12,HDFC,EQ,709.2,717,717,696.1,698,699.8,700.42,1661183,1.16E+14,53851,1025211,0.6172
1-30-12,HDFC,EQ,699.8,692.05,699.8,685,688,688.1,689.31,1921884,1.32E+14,37392,1463193,0.7613
